group,subgroup,Borough,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE
Age,0-17,Bronx,16397,404,5,8854.58,224.55,1.44
Age,18-24,Bronx,14360,616,17,6909.57,296.4,8.18
Age,25-34,Bronx,30245,1615,64,6434.55,343.59,13.62
Age,35-44,Bronx,25425,1908,148,7102.23,532.98,41.34
Age,45-54,Bronx,23203,2651,446,7855.68,897.53,151
Age,55-64,Bronx,23495,4492,1028,8222.65,1572.09,359.77
Age,65-74,Bronx,16843,5495,1743,8011.21,2613.64,829.04
Age,75+,Bronx,13490,7178,3520,8557.42,4553.38,2232.92
Race/ethnicity,Asian/Pacific-Islander,Bronx,11146,1546,433,3357.83,467.1,142.12
Race/ethnicity,Black/African-American,Bronx,32213,8149,2464,3990.84,910.34,266.65
Race/ethnicity,Hispanic/Latino,Bronx,24591,4281,1314,5125.82,936.39,302
Race/ethnicity,White,Bronx,42722,7556,2231,4465.36,716.65,201.1
Sex,Female,Bronx,84744,11426,2865,6288,847.81,212.58
Sex,Male,Bronx,78591,12927,4109,6483.37,1066.41,338.97
Age,0-17,Brooklyn,10629,304,8,9234.6,288.69,1.39
Age,18-24,Brooklyn,9218,506,7,6615.3,363.13,5.02
Age,25-34,Brooklyn,19665,1271,56,8648.4,558.97,24.63
Age,35-44,Brooklyn,17742,1584,131,9889.96,882.97,73.02
Age,45-54,Brooklyn,18585,2429,326,10695.48,1397.86,187.61
Age,55-64,Brooklyn,17893,3772,796,11008.71,2320.73,489.74
Age,65-74,Brooklyn,10571,3991,1196,10096.18,3811.73,1142.28
Age,75+,Brooklyn,8306,4532,2142,9880.68,5391.19,2548.09
Race/ethnicity,Asian/Pacific-Islander,Brooklyn,2903,525,112,4807.85,844.77,191.41
Race/ethnicity,Black/African-American,Brooklyn,22080,5721,1465,5121.86,1273.98,327.86
Race/ethnicity,Hispanic/Latino,Brooklyn,52756,8451,2207,6732.04,1137.8,313.06
Race/ethnicity,White,Brooklyn,7903,1711,547,5815.76,839.66,200.57
Sex,Female,Brooklyn,59937,8669,1952,8005.91,1157.94,260.73
Sex,Male,Brooklyn,52688,9719,2707,7869.19,1451.58,404.3
Age,0-17,Manhattan,5517,134,2,7392.67,185.08,0.86
Age,18-24,Manhattan,7336,182,3,5036.76,124.96,2.06
Age,25-34,Manhattan,17166,691,18,4743.57,190.95,4.97
Age,35-44,Manhattan,11605,814,50,4956.08,347.63,21.35
Age,45-54,Manhattan,10558,1262,120,5398.22,645.25,61.36
Age,55-64,Manhattan,10598,2195,333,5757.94,1192.55,180.92
Age,65-74,Manhattan,7515,2592,680,5033.12,1735.97,455.43
Age,75+,Manhattan,7627,4220,1841,6014.51,3327.81,1451.78
Race/ethnicity,Asian/Pacific-Islander,Manhattan,4811,812,222,2190.52,357.45,96.09
Race/ethnicity,Black/African-American,Manhattan,9206,2720,691,4129.67,1082.87,264.58
Race/ethnicity,Hispanic/Latino,Manhattan,20702,4206,1108,4711.63,880.05,222.75
Race/ethnicity,White,Manhattan,21287,2736,808,2590.33,271.92,73.92
Sex,Female,Manhattan,39302,5425,1286,4584.78,632.85,150.02
Sex,Male,Manhattan,38570,6667,1762,4999.49,864.19,228.39
Age,0-17,Queens,13858,264,4,9472.7,191.03,0.89
Age,18-24,Queens,13352,454,6,7754.76,263.68,3.48
Age,25-34,Queens,29007,1606,62,8064.74,446.51,17.24
Age,35-44,Queens,27159,2193,209,8869.84,716.21,68.26
Age,45-54,Queens,27688,3402,479,9253.98,1137.03,160.09
Age,55-64,Queens,26397,5348,1200,8785.29,1779.89,399.38
Age,65-74,Queens,15520,5350,1755,7465.88,2573.61,844.24
Age,75+,Queens,12157,6732,3422,7576.63,4195.59,2132.7
Race/ethnicity,Asian/Pacific-Islander,Queens,23700,4041,1069,3737.36,571.53,155.01
Race/ethnicity,Black/African-American,Queens,20010,4533,1304,4611.61,922.55,258.08
Race/ethnicity,Hispanic/Latino,Queens,41586,8075,2079,6509.39,1298.58,355.74
Race/ethnicity,White,Queens,26862,5035,1832,4554.65,569.83,178.18
Sex,Female,Queens,82836,10974,2789,7141.23,946.06,240.44
Sex,Male,Queens,82179,14372,4346,7512.55,1313.84,397.3
Age,0-17,StatenIsland,4942,60,1,14366.79,195.79,0.97
Age,18-24,StatenIsland,4697,88,4,11839.57,221.82,10.08
Age,25-34,StatenIsland,7700,237,11,11897.59,366.2,17
Age,35-44,StatenIsland,6953,327,29,11750.09,552.61,49.01
Age,45-54,StatenIsland,7290,573,80,11360.09,892.91,124.66
Age,55-64,StatenIsland,6823,912,150,10317.56,1379.1,226.83
Age,65-74,StatenIsland,3789,1016,290,8120.62,2177.5,621.53
Age,75+,StatenIsland,3003,1374,739,9199.8,4209.3,2263.95
Race/ethnicity,Asian/Pacific-Islander,StatenIsland,2058,239,85,3858.34,412.58,160.95
Race/ethnicity,Black/African-American,StatenIsland,2804,544,135,6236.14,1246.45,337.08
Race/ethnicity,Hispanic/Latino,StatenIsland,6547,909,184,7663.36,1260.31,308.76
Race/ethnicity,White,StatenIsland,21203,2631,848,7299.28,659.68,195.89
Sex,Female,StatenIsland,22707,2084,562,9275.24,851.26,229.56
Sex,Male,StatenIsland,22463,2502,742,9710.37,1081.57,320.75
